Gn-1-1|O começo
Gn-2-4|Adão e Eva
Gn-3-1|A queda do homem
Gn-4-1|Caim e Abel
Gn-5-1|Desde Adão a Noé
Gn-6-1|O dilúvio
Gn-9-1|A aliança de Deus com Noé
Gn-9-18|Os filhos de Noé
Gn-10-1|O mapa das nações
Gn-11-1|A torre de Babel
Gn-11-10|Desde Sem a Abrão
Gn-12-1|A chamada de Abrão
Gn-12-10|Abrão no Egipto
Gn-13-1|Abrão e Lot separam-se
Gn-14-1|Abrão salva Lot
Gn-15-1|A aliança de Deus com Abrão
Gn-16-1|Agar e Ismael
Gn-17-1|A aliança da circuncisão
Gn-18-1|Os três visitantes
Gn-18-17|Abraão intercede por Sodoma
Gn-19-1|Sodoma e Gomorra destruídas
Gn-19-30|Lot e as suas filhas
Gn-20-1|Abraão e Abimeleque
Gn-21-1|O nascimento de Isaque
Gn-21-8|Agar e Ismael mandados embora
Gn-21-22|O acordo em Berseba
Gn-22-1|Abraão é provado
Gn-22-20|Os filhos de Naor
Gn-23-1|A morte de Sara
Gn-24-1|Isaque e Rebeca
Gn-25-1|A morte de Abraão
Gn-25-12|Os filhos de Ismael
Gn-25-19|Jacob e Esaú
Gn-26-1|Isaque e Abimeleque
Gn-27-1|Jacob recebe a bênção de Isaque
Gn-27-41|Jacob foge para Labão
Gn-28-10|O sonho de Jacob em Betel
Gn-29-1|Jacob chega a Padan-Arã
Gn-29-16|Jacob casa com Leia e Raquel
Gn-29-31|Os filhos de Jacob
Gn-30-25|Os rebanhos de Jacob aumentam
Gn-31-1|Jacob foge de Labão
Gn-31-22|Labão persegue Jacob
Gn-32-1|Jacob prepara-se para se encontrar com Esaú
Gn-32-22|Jacob luta com Deus
Gn-33-1|Jacob encontra-se com Esaú
Gn-34-1|Dina e Siquem
Gn-35-1|Jacob volta a Betel
Gn-35-16|A morte de Raquel e Isaque
Gn-36-1|Os descendentes de Esaú
Gn-36-31|Os chefes de Edom
Gn-37-1|O sonho de José
Gn-37-12|José é vendido pelos irmãos
Gn-38-1|Judá e Tamar
Gn-39-1|José e a mulher de Potifar
Gn-40-1|O chefe de vinhos e o padeiro
Gn-41-1|O sonho de Faraó
Gn-41-41|José, governador do Egipto
Gn-42-1|Os irmãos de José vão ao Egipto
Gn-43-1|A segunda viagem ao Egipto
Gn-44-1|A taça de prata no saco
Gn-45-1|José dá-se a conhecer
Gn-46-1|Jacob vai para o Egipto
Gn-47-13|José e a fome
Gn-48-1|Manassés e Efraim
Gn-49-1|Jacob abençoa os filhos
Gn-49-28|A morte de Jacob
Gn-50-22|A morte de José
Ex-1-1|Os israelitas oprimidos
Ex-2-1|O nascimento de Moisés
Ex-2-11|Moisés mata um egípcio e foge
Ex-3-1|A sarça ardente
Ex-4-1|Sinais para Moisés
Ex-4-18|Moisés volta ao Egipto
Ex-5-1|Tijolos sem palha
Ex-6-1|O Senhor promete libertação
Ex-6-14|Genealogias de Moisés e Arão
Ex-7-1|Arão porta-voz de Moisés
Ex-7-8|A vara de Moisés transforma-se numa serpente
Ex-7-14|A praga das águas tornadas em sangue
Ex-8-1|A praga das rãs
Ex-8-16|A praga dos piolhos
Ex-8-20|A praga das moscas
Ex-9-1|A peste nos animais
Ex-9-8|A praga das chagas
Ex-9-13|A praga da saraiva
Ex-10-1|A praga dos gafanhotos
Ex-10-21|A praga das trevas
Ex-11-1|A morte dos primogénitos
Ex-12-1|A Páscoa
Ex-12-28|O êxodo
Ex-12-42|A instituição da Páscoa
Ex-13-1|A consagração dos primogénitos
Ex-13-17|A travessia do mar
Ex-14-1|A perseguição dos egípcios
Ex-14-15|A passagem pelo meio do mar
Ex-15-1|O cântico de Moisés
Ex-15-22|As águas de Mara e Elim
Ex-16-1|O maná e as codornizes
Ex-17-1|Água da rocha
Ex-17-8|A derrota dos amelequitas
Ex-18-1|Jetro visita Moisés
Ex-19-1|Deus fala do Monte Sinai
Ex-20-1|Os dez mandamentos de Deus
Ex-20-22|Ídolos e altares
Ex-21-1|Mandamentos sobre servos
Ex-21-12|Ferimentos pessoais
Ex-22-1|Protecção da propriedade
Ex-22-16|Responsabilidade social
Ex-23-1|Leis de justiça e misericórdia
Ex-23-10|Leis sobre o sábado
Ex-23-14|As três festas anuais
Ex-23-20|O anjo de Deus
Ex-24-1|A aliança confirmada
Ex-25-1|Ofertas para o tabernáculo
Ex-25-10|A arca
Ex-25-23|A mesa
Ex-25-31|O castiçal
Ex-26-1|O tabernáculo
Ex-27-1|O altar para o holocausto
Ex-27-9|O pátio
Ex-27-20|Óleo para as lâmpadas
Ex-28-1|Vestimentas para os sacerdotes
Ex-28-5|O éfode
Ex-28-15|O peitoral
Ex-28-31|Outras vestes sacerdotais
Ex-29-1|A consagração dos sacerdotes
Ex-30-1|O altar do incenso
Ex-30-11|O dinheiro do resgate
Ex-30-17|A bacia para as lavagens
Ex-30-22|O óleo da unção
Ex-30-34|A preparação do incenso
Ex-31-1|Bezalel e Aoliabe
Ex-31-12|O sábado
Ex-32-1|O bezerro de ouro
Ex-33-7|A tenda do encontro com Deus
Ex-33-12|Moisés e a glória do Senhor
Ex-34-1|Novas placas de pedra
Ex-34-29|O rosto radiante de Moisés
Ex-35-1|As instruções sobre o sábado
